epoch,acc,loss,val_acc,val_loss
0,0.30244872,1.8147818508797287,0.3948175,1.6383983177608914
1,0.42450103,1.5309393612617377,0.43103927,1.4548570476637945
2,0.4724999,1.4015520470299074,0.45500138,1.4979349766837227
3,0.5018287,1.3278520693661564,0.47144052,1.5984776613447402
4,0.5211258,1.2730028470787718,0.5066871,1.3457566738128661
5,0.5374969,1.2312620689330038,0.5324603,1.2422396988338895
6,0.54885226,1.2005528826636993,0.5373363,1.2644629584418403
7,0.55637604,1.1841843116287154,0.52312624,1.3022539573245577
8,0.5661291,1.156726099243192,0.5682641,1.1665205306477018
9,0.575708,1.1355500944214907,0.5600446,1.2021500505341425
10,0.5770664,1.1260946847672555,0.5202006,1.3116072509023877
11,0.5850778,1.1111088167519034,0.5682641,1.2097536442014907
12,0.59012854,1.0983561795683563,0.57146835,1.1657102711995442
13,0.5952489,1.089999239411265,0.5859571,1.1309296936459012
14,0.5992894,1.0765355934983465,0.5905545,1.0897222023540074
15,0.6039918,1.0631720834135647,0.59682363,1.1046943354606629
16,0.60698736,1.0515415391713883,0.5827529,1.134215890566508
17,0.60702217,1.049695083583351,0.5784341,1.1573301675584582
18,0.61454594,1.0413524985226217,0.58651435,1.1247054571575588
19,0.6157999,1.0318604513513343,0.5852605,1.1409212470054626
20,0.61806405,1.0236884456197564,0.5909724,1.1396334052085877
21,0.6187955,1.0224670607774018,0.60587907,1.0899898076057435
22,0.62287086,1.0098156783788315,0.5775982,1.1644030581580267
23,0.62182593,1.0115532683513975,0.5969629,1.0787319527732002
24,0.62826985,1.00189110197083,0.61688495,1.059309901661343
25,0.6306733,0.9966968426306946,0.5955698,1.1173210737440322
26,0.62813056,0.9929001330488498,0.60657567,1.069566740989685
27,0.63255423,0.9868360501794988,0.6113123,1.0838465828365749
28,0.6362813,0.9823809074439526,0.6124269,1.096547269821167
29,0.6361768,0.9787269844053481,0.6015603,1.0932300281524658
30,0.63763976,0.9750638634496906,0.61535245,1.0546980343924628
31,0.6388937,0.9713566934407586,0.6184174,1.0481685280799866
32,0.6384757,0.9717555420331195,0.61270547,1.091577480369144
33,0.6402522,0.9622210744630706,0.6195319,1.033526577949524
34,0.6448152,0.9571128649953524,0.6189746,1.0348508641454908
35,0.6447455,0.9499042907550611,0.619114,1.039245556195577
36,0.6443276,0.9550142125872602,0.61772084,1.0454723747571308
37,0.64896023,0.9456148262685642,0.6117303,1.0676183580027687
38,0.6485074,0.947146320769462,0.6113123,1.0766417966948616
39,0.6501446,0.9391893175848391,0.6140986,1.0397946643829346
40,0.65206033,0.9394598913801481,0.6273335,1.0344765351878271
41,0.6534188,0.9379228403660532,0.6216216,1.0395895226796468
42,0.6527918,0.9332379288191565,0.6157704,1.0689032048649258
43,0.65139854,0.9288828532861615,0.5962664,1.1093846487998962
44,0.6601066,0.9250890675510058,0.63624966,1.023148809009128
45,0.6570762,0.9247997695116037,0.6081081,1.1218430953555636
46,0.6592358,0.9212737848855115,0.62398994,1.0431677492459615
47,0.65676266,0.9253305377596128,0.63527447,1.0154001976384057
48,0.6607336,0.9212826941386963,0.62566173,1.0256907921367222
49,0.6586785,0.9165379781243678,0.6223182,1.0329235863685609
50,0.6590268,0.9188595608781467,0.6195319,1.0295397056473625
51,0.6613257,0.909007694696391,0.63652825,1.0158544199996524
52,0.6601763,0.9095304459670797,0.61702424,1.0710331503550212
53,0.66522694,0.9038733417302107,0.6005851,1.1236545205116273
54,0.6645303,0.9010380970995322,0.61019784,1.0635669091012743
55,0.6644258,0.9065597449945487,0.6274728,1.0357647766007319
56,0.668954,0.8998087533813579,0.6290053,1.026939459376865
